Ranking,Name,Team,PM,F.Com
124,Walter Montillo,Kunisports,1,1
124,Lele Montero,Los Troncos FC,1,1
124,Djibril Cissé,Los Troncos FC,2,1
124,Gerard Nolla,El Barrio,7,1
124,Carlos de la Nava,Saiyans FC,1,1
124,Adnane Ghailan,Los Troncos FC,2,1
124,Jorge Alba,Saiyans FC,4,1
124,Alexis Ruano,1K FC,1,1
124,Aitor Vives,Ultimate Móstoles,2,1
124,Eric Panés,Saiyans FC,1,1
124,Marc Marruecos,Rayo de Barcelona,2,1
124,Sergi Vives,PIO FC,1,1
124,Andriy Shevchenko,Ultimate Móstoles,1,1
124,Diego Capel,Porcinos FC,1,1
124,Christian Alfonso,PIO FC,3,1
124,Dani 'Mini Bartu' Ruiz,Los Troncos FC,2,1
124,Juan Fernández,Aniquiladores FC,1,1
124,David López,Los Troncos FC,1,1
